DATE,TRADINGCODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME,Change
2016-12-15,NTLTUBES,129.3,134,128.6,130.2,130.1,131,2039,63.005,481744,-0.69%
2016-12-15,OAL,22.7,23.4,22.6,23.1,22.7,23,2090,98.256,4306763,-1.30%
2016-12-15,OLYMPIC,305.5,308,305.3,305.9,305.7,306.8,451,35.701,116644,-0.36%
2016-12-15,ONEBANKLTD,16.2,16.2,15.7,15.8,16.2,15.8,459,35.61,2226465,2.53%
2016-12-15,ORIONINFU,60.2,62,60.2,60.7,60.6,60.3,1367,33.578,548321,0.50%
2016-12-15,ORIONPHARM,40.9,42.1,40.7,41.5,40.8,41.4,858,42.659,1034562,-1.45%
2016-12-15,PADMALIFE,26.7,26.8,26.4,26.4,26.6,26.3,42,0.59,22234,1.14%
2016-12-15,PADMAOIL,190.4,193.4,190.1,191.8,190.5,190.7,279,23.73,123926,-0.10%
2016-12-15,PARAMOUNT,19.9,20.9,19.6,19.9,20.2,20.4,284,7.91,391249,-0.98%
2016-12-15,PENINSULA,25.1,26.4,24.8,26,25.1,25.7,1149,56.936,2238496,-2.33%
2016-12-15,PEOPLESINS,17.7,17.7,17.1,17.1,17.4,17.4,19,0.123,7085,0.00%
2016-12-15,PF1STMF,4.8,4.8,4.7,4.8,4.8,4.8,25,2.482,517100,0.00%
2016-12-15,PHARMAID,245.6,247.7,242,243.6,244.6,243.5,449,12,49219,0.45%
2016-12-15,PHENIXINS,23.1,23.5,22.7,23.3,23.1,23,85,1.801,77775,0.43%
2016-12-15,PHOENIXFIN,26.5,27.2,26.3,26.6,26.7,26.3,371,22.158,828427,1.52%
2016-12-15,PHPMF1,4.8,4.8,4.6,4.7,4.7,4.8,127,8.654,1848596,-2.08%
2016-12-15,PIONEERINS,30.4,30.4,29.4,30.3,30.3,29.5,91,1.809,60595,2.71%
2016-12-15,PLFSL,8.2,8.4,8.2,8.3,8.2,8.4,122,1.647,199339,-2.38%
2016-12-15,POPULAR1MF,4.7,4.8,4.7,4.8,4.7,4.7,116,5.847,1242533,0.00%
2016-12-15,POPULARLIF,69.8,70.5,69.8,70.5,70,69.2,81,3.78,53983,1.16%
2016-12-15,POWERGRID,55.3,55.7,53.9,54.4,55.1,54.4,584,26.489,481276,1.29%
2016-12-15,PRAGATIINS,27.2,27.7,27.2,27.7,27.4,27.8,22,0.54,19676,-1.44%
2016-12-15,PRAGATILIF,108.4,109.4,104.6,104.6,106.7,107.3,42,0.691,6530,-0.56%
2016-12-15,PREMIERBAN,9.1,9.1,8.9,9,9,9,329,12.055,1336848,0.00%
2016-12-15,PREMIERCEM,85,87,84.9,86.8,85,85.4,105,4.802,56309,-0.47%
2016-12-15,PREMIERLEA,13.3,13.5,13.1,13.2,13.3,13.1,853,62.612,4719657,1.53%
2016-12-15,PRIME1ICBA,5.1,5.1,5.1,5.1,5.1,5.1,6,0.02,4000,0.00%
2016-12-15,PRIMEBANK,17.6,17.7,16.8,17.1,17.6,17.2,187,12.076,689394,2.33%
2016-12-15,PRIMEFIN,9,9.1,8.8,8.9,9,8.9,145,3.05,337470,1.12%
2016-12-15,PRIMEINSUR,18.3,18.8,18.2,18.2,18.3,18.2,6,0.105,5722,0.55%
2016-12-15,PRIMELIFE,59.5,59.5,59,59,59.1,59.2,7,0.276,4667,-0.17%
2016-12-15,PRIMETEX,22.8,24.1,22.5,23,22.7,22.7,657,34.415,1477976,0.00%
2016-12-15,PROGRESLIF,55.2,55.2,54.1,54.1,54.9,54.6,4,0.038,701,0.55%
2016-12-15,PROVATIINS,15.5,16.4,15,15,15.6,15.1,76,2.62,165444,3.31%
2016-12-15,PTL,19.5,19.9,19.2,19.9,19.4,19.6,509,23.243,1190991,-1.02%
2016-12-15,PUBALIBANK,24.8,24.8,23.7,24.7,24.7,24.2,302,23.2,942786,2.07%
2016-12-15,PURABIGEN,15.5,15.6,14.9,14.9,15.3,15,172,4.108,271882,2.00%
2016-12-15,QSMDRYCELL,94.4,96.7,94.2,94.9,94.8,94.9,1488,61.8,649011,-0.11%
2016-12-15,RAHIMAFOOD,140,157,140,148.2,142.5,149.5,504,9.653,63686,-4.68%
2016-12-15,RAHIMTEXT,260,275,260,275,264.3,269.3,336,7.251,26864,-1.86%
2016-12-15,RAKCERAMIC,64.4,64.4,62.4,62.5,64.2,62.1,2117,144.015,2260049,3.38%
2016-12-15,RANFOUNDRY,106.1,107.7,106,107,106.2,107.4,290,5.224,49054,-1.12%
2016-12-15,RDFOOD,17.2,17.6,17,17.5,17.1,17.4,932,30.477,1769387,-1.72%
2016-12-15,RECKITTBEN,1570,1570,1540.1,1540.1,1552.9,1541.2,18,0.258,166,0.76%
2016-12-15,REGENTTEX,15.4,15.8,15.3,15.6,15.4,15.5,1123,28.142,1811833,-0.65%
2016-12-15,RELIANCE1,8.3,8.3,8.1,8.1,8.2,8.1,9,0.207,25125,1.23%
2016-12-15,RELIANCINS,46.8,47,46.8,47,47,46.8,5,0.108,2300,0.43%
2016-12-15,RENATA,1083,1088,1083,1083,1083.5,1083.1,213,10.199,9403,0.04%
2016-12-15,RENWICKJA,651,672,651,672,661.8,671.3,172,2.921,4422,-1.42%
2016-12-15,REPUBLIC,21,21.5,19.9,20.2,21.4,20.3,341,26.142,1270650,5.42%
2016-12-15,RNSPIN,23,24,22.8,23,23,22.4,810,28.22,1210659,2.68%
2016-12-15,RSRMSTEEL,66.9,69.3,63.1,63.5,66.1,64.1,2727,298.178,4510606,3.12%
2016-12-15,RUPALIBANK,25.4,26,25.3,25.5,25.6,25.5,139,2.55,99315,0.39%
2016-12-15,RUPALIINS,17.8,18.1,17.5,17.5,18,17.5,159,4.346,243656,2.86%
2016-12-15,RUPALILIFE,36.5,36.5,35.2,35.7,36.3,35.1,265,10.994,305143,3.42%
2016-12-15,SAFKOSPINN,13.4,13.9,13.4,13.8,13.5,13.7,208,3.833,280700,-1.46%
2016-12-15,SAIFPOWER,50.5,51.6,49.8,51.5,50,51.3,1142,53.138,1053697,-2.53%
2016-12-15,SAIHAMCOT,14.7,15.1,14.4,14.8,14.8,14.8,265,18.646,1260610,0.00%
2016-12-15,SAIHAMTEX,14.6,15,14.6,14.8,14.6,14.7,207,7.057,481590,-0.68%
2016-12-15,SALAMCRST,37.7,38.6,36.8,37.5,37.9,36.9,1478,74.865,1988625,2.71%
